Optimizer,ModelType,Round_Fold,Client,Epoch,TimeSec,TrainAcc,ValAcc,TrainLoss,ValLoss,LR
Adagrad,FEDERATED CNN,3,3,2,5.514179707,0.7311733961,0.4662576616,0.7246029377,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,3,3,5.744659185,0.7635726929,0.4662576616,0.6614887118,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,3,4,5.67528224,0.785464108,0.4662576616,0.5915301442,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,3,5,5.794221401,0.7977232933,0.4662576616,0.5852829218,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,3,6,5.823601961,0.7950963378,0.4662576616,0.5841206312,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,4,1,18.03544641,0.7451838851,0.4662576616,0.73068434,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,4,2,5.53356266,0.7653239965,0.4662576616,0.671423018,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,4,3,5.786901474,0.790718019,0.4662576616,0.5711141229,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,4,4,5.753890038,0.7880910635,0.4662576616,0.5929234624,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,4,5,5.760742903,0.7837128043,0.4662576616,0.5816769004,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,4,6,5.760154724,0.8108581305,0.4662576616,0.5242961645,1.663606048,0.0005000000237
Adagrad,FEDERATED CNN,3,5,1,17.78505349,0.7513135076,0.4662576616,0.6856202483,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,5,2,5.418820381,0.7775831819,0.4662576616,0.6359423399,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,5,3,5.716442823,0.785464108,0.4662576616,0.6209033132,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,5,4,5.699143887,0.7819615006,0.4662576616,0.5682681799,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,5,5,5.623450994,0.7889667153,0.4662576616,0.5888277292,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,5,6,5.93919301,0.7924693227,0.4662576616,0.552475512,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,4,1,1,17.34315395,0.8048993945,0.49868536,0.5385087132,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,1,2,5.514941931,0.787401557,0.49868536,0.6075780392,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,1,3,5.617880344,0.8197725415,0.49868536,0.5404065847,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,1,4,5.831814051,0.82589674,0.49868536,0.4886423945,1.676647902,0.0005000000237
Adagrad,FEDERATED CNN,4,1,5,5.799462318,0.825021863,0.49868536,0.5059012175,1.676647902,0.0005000000237
Adagrad,FEDERATED CNN,4,1,6,5.513535261,0.833770752,0.49868536,0.4825235605,1.676647902,0.0005000000237
Adagrad,FEDERATED CNN,4,2,1,17.39083099,0.801399827,0.49868536,0.5994771719,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,2,2,5.756411552,0.785651803,0.49868536,0.5864440799,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,2,3,5.485797167,0.807524085,0.49868536,0.5285092592,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,2,4,5.775397301,0.8145231605,0.49868536,0.5132911205,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,2,5,5.760851622,0.825021863,0.49868536,0.5040835738,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,2,6,5.868469,0.818022728,0.49868536,0.505980134,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,3,1,17.92783976,0.7889667153,0.49868536,0.5652210712,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,3,2,5.754458904,0.7915936708,0.49868536,0.5884240866,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,3,3,5.732866526,0.8064798713,0.49868536,0.5444532633,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,3,4,5.764433861,0.8038529158,0.49868536,0.5451387763,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,3,5,5.687191725,0.8336251974,0.49868536,0.4861509502,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,3,6,5.775736809,0.8266199827,0.49868536,0.4713555276,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,4,1,18.04474044,0.8152364492,0.49868536,0.5720338225,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,4,2,5.776096106,0.8047285676,0.49868536,0.5590104461,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,4,3,5.770576477,0.8047285676,0.49868536,0.5472046137,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,4,4,5.403006077,0.7985989451,0.49868536,0.5449115038,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,4,5,5.63987875,0.8003502488,0.49868536,0.5582459569,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,4,6,5.9801085,0.8108581305,0.49868536,0.4942813516,1.676647902,0.001000000047
