Metric,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Mean (± Std. Dev)
Best Validation Accuracy,0.7174,0.7244,0.7627,0.7224,0.7513,0.7356 (± 0.0180)
Best Validation Loss,0.7231 (Epoch 27),0.5948 (Epoch 27),0.6509 (Epoch 21),0.6172 (Epoch 20),0.6316 (Epoch 16),N/A
,,,,,,
,,,,,,
Federated Round,Client ID,Local Accuracy (Final Epoch 6),Local Loss (Final Epoch 6),Global Validation Accuracy,Global Validation Loss,
Round 1,Client 1,0.5661,1.1288,0.2875,1.5647,
,Client 2,0.4523,1.2121,,,
,Client 3,0.4711,1.2018,,,
,Client 4,0.5053,1.2013,,,
,Client 5,0.3511,1.3029,,,
Round 2,Client 1,0.6194,1.019,0.5513,1.1444,
,Client 2,0.5381,1.1039,,,
,Client 3,0.5928,1.0429,,,
,Client 4,0.5613,1.1147*,,,
,Client 5,0.5746,1.0965,,,
,,,,,,
centralized model for comparison ,,,,,,
,,,,,,
Fold No,Epoch No,Train Accuracy,Train Loss,Val_Accuracy,Val_Loss,
3,1,5,0.622,0.9224,0.0005,
3,1,6,0.6579,0.8633,0.0005,
3,2,1,0.6395,0.9673,0.001,
3,2,2,0.6299,0.9564,0.001,
3,2,3,0.6422,0.9353,0.001,
3,2,4,0.6282,0.9128,0.001,
3,2,5,0.5871,1.0037,0.001,
3,2,6,0.5984,1.0028,0.001,
3,3,1,0.6121,1.0059,0.001,
3,3,2,0.634,0.9959,0.001,
3,3,3,0.634,0.9755,0.001,
3,3,4,0.6086,0.9756,0.001,
3,3,5,0.6313,0.9443,0.001,
3,3,6,0.6489,0.9147,0.001,
3,4,1,0.6191,1.0112,0.001,
3,4,2,0.634,0.9926,0.001,
3,4,3,0.5928,1.0122,0.001,
3,4,4,0.5858,1.0235,0.001,
3,4,5,0.6296,0.9661,0.0005,
3,4,6,0.6506,0.9123,0.0005,
3,5,1,0.6025,1.0108,0.001,
3,5,2,0.5946,1.0015,0.001,
3,5,3,0.6357,0.9365,0.001,
3,5,4,0.5744,0.9986,0.001,
3,5,5,0.6235,0.9453,0.001,
3,5,6,0.6173,0.9383,0.0005,
4,1,1,0.671,0.8574,0.001,
4,1,2,0.6894,0.8274,0.001,
4,1,3,0.5958,0.9669,0.001,
4,1,4,0.5792,0.9764,0.001,
4,1,5,0.6334,0.8866,0.0005,
4,2,1,0.6597,0.8735,0.001,
4,2,2,0.6737,0.8463,0.001,
4,2,3,0.6142,0.9143,0.001,
4,2,4,0.6457,0.8464,0.001,
4,2,5,0.6527,0.8479,0.0005,
4,3,1,0.6489,0.8771,0.001,
4,3,2,0.6585,0.8534,0.001,
4,3,3,0.6576,0.8484,0.001,
4,3,4,0.6532,0.8837,0.001,
4,3,5,0.6567,0.8363,0.001,
4,3,6,0.6594,0.8351,0.001,
4,4,1,0.6664,0.8507,0.001,
4,4,2,0.6532,0.8709,0.001,
4,4,3,0.6384,0.922,0.001,
4,4,4,0.662,0.8412,0.0005,
4,4,5,0.6699,0.8303,0.0005,
